ул. Артема, д. 84, г. Донецк;Игорь Горбатов
4284081183;Булгаков М. А.;Записки юного врача;1926;38
6169722214;Толстой Л. Н.;Война и мир;1996;28
0782549349;Гончаровым B. А.;Обломов;1859;20
2801914528;Гоголь Н. В.;Ревизор;1835;38
9107148223;Эрих Мария Ремарк;Жизнь взаймы;1959;31
3802866093;Роман Прокофьев;Стеллар. Инкарнатор;2021;40
9467014991;Олдос Хаксли;О дивный новый мир;1932;31
6704135552;Эльчин Сафарли;Мне тебя обещали;2010;39
2152945245;Гоголь Н. В.;Мёртвые души;1842;32
9056453007;Рэй Брэдбери;451 градус по Фаренгейту;1953;20
9480683122;Зигмунд Фрейд;Введение в психоанализ;1917;26
2647482995;Фёдор Достоевский;Преступление и наказание;1866;39
8763673480;Стивен Кинг;Позже;2021;29
5041962067;Иванов А. В.;Тени тевтонов;2021;36
2238854127;Та-Нехаси Коутс;Танцующий на воде;2021;36
2357017195;Рэй Брэдбери;Марсианские хроники;1950;24
